#RIC,ISIN,CUSIP,SEDOL,GICS,Exchange,Name,Type,Currency,First Date,Last Date,Expiry Date,Strike Price,Options Type,Maturity,Coupon,Bond,Rating,PE Code,Underlying RIC,New RIC Symbol,Release Cycle
ARIST.LU,LU0376142542,N/A,N/A,N/A,LUX,ARISTA,113,EUR,20160104,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,ARIST.LU,,2
BALHR.LU,KYG5736G1073,N/A,N/A,N/A,LUX,BAL HARBOUR->BALHREFD,113,USD,20130308,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,BALHR.LU,,2
BIOTO.LU,LU1650052365,N/A,N/A,N/A,LUX,BIOTOSCANA INVES->BIOTINV,113,USD,20170725,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,GBIO33.SA,,2
163704.LU,JE00B5ZT8572,N/A,N/A,N/A,LUX,BI COA PRO->BLUE COAST PROP->BlCoaPro priv->BLCOAPRO PRIV,113,GBP,20100618,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,163704.LU,,2
INSGR.LU,LU0080035727,N/A,N/A,N/A,LUX,->INSINGBEAUFHLDG->IDBHOLDINGS->IdBHldgs->IDBHLDGS->BLUE MARLIN HOL,113,USD->EUR,19971001,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114->5365->0->5365,INSGR.LU,,2
BATJ.LU,LU0011857645,N/A,N/A,N/A,LUX,BRAIT->Brait n (nd)->BRAIT->Brait ord->BRAIT ORD,113,LUF->EUR,19980923,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114->5365->0->5365,BATJ.LU->BATJ.J,,2
7458.LU,LU0033983072,N/A,N/A,N/A,LUX,CEDEC->Cedec->CEDEC,113,EUR,20070929,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,7458.LU,,2
EPPR.LU,NL0011983374,N/A,N/A,N/A,LUX,ECHO POL->ECHOPP,113,EUR,20160817,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,EPPR.LU->EPPJ.J,,2
EDIFY.LU,LU1129894801,N/A,N/A,N/A,LUX,EDIFY,113,EUR,20141218,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,EDIFY.LU,,2
FLES.LU,LU0386500333,N/A,N/A,N/A,LUX,FLE SICAV FIS B,113,EUR,20160929,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,FLES.LU,,2
GPIV11.LU,BMG4035L1155,N/A,N/A,N/A,LUX,GP INVESTMENTS->GPInvest Class->GPINVEST CLASS,113,USD,20060605,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,GPIV11.LU->GPIV11.SA->GPIV33.SA->GPIV11.LU,,2
MASPLC.LU,IM00B4LFGH00->VGG5884M1041,N/A,N/A,N/A,LUX,MAS N->Mas->MAS,113,EUR,20090813,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,MSPJ.J->MASPLC.LU,,2
MLXK.LU,LU0011859856,N/A,N/A,N/A,LUX,->MidiluxHldgs p+->MIDILUX->MIDILUXHLDGS->Midilux->MIDILUX,113,LUF->EUR->USD,19960106,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114->5365->0->5365,MLXK.LU,,2
PIAP.LU,LU0976591924,N/A,N/A,N/A,LUX,PARTNERS GRP,113,EUR,20140915,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,PIAP.LU,,2
PGDM.LU,LU0976591924,N/A,N/A,N/A,LUX,PARTNERS GRP,113,EUR,20140520,20140531,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,PGDM.LU,,2
PARTG.LU,LU1150706494,N/A,N/A,N/A,LUX,PART GROUP SEC,113,EUR,20160617,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,PARTG.LU,,2
PACO.LU,XS0338351835->GB00B29LH959,N/A,N/A,N/A,LUX,PINEAPPLECORP->Pineapp->PINEAPP,113,GBP,20071231,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,PACO.LU,,2
WSON.LU,BMG968101094,N/A,N/A,N/A,LUX,WILSON SONS->WilsSons->WILSSONS,113,USD,20070501,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,WSON11.SA->WSON.LU,,2
APAM.LU,LU0569974404,N/A,N/A,N/A,LUX,APERAM->Aperam->APERAM,113,EUR,20110121,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,APAM.LU->APAM.AS,,2
MT.LU,LU0323134006->LU1598757687,N/A,N/A,N/A,LUX,ARCELORMITTAL->ArcMit->ARCMIT,113,EUR,20070831,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,ISPA.AS->MT.AS->ARRD.DE->MT.AS,,2
BREL.LU,LU1068091351,N/A,N/A,N/A,LUX,BREDERO PE->BREDERO,113,EUR,20140527,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,BREL.LU,,2
GSZ.LU,FR0010208488,N/A,N/A,N/A,LUX,GDFSUEZ->GDFSuez->GDFSUEZ,113,EUR,20080722,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,GSZ.PA->ENGIE.PA,,2
SACIL.LU,FR0000061418,N/A,N/A,N/A,LUX,FID OFF SO PE NE->FidOffSo->FIDOFFSO,113,EUR,20120912,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,SACP.PA,,2
PADI.LU,FR0000060535,N/A,N/A,N/A,LUX,FIDREALESTATE->FidRealE->FIDREALE,113,EUR,20100119,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,PADI.PA,,2
FOTH.LU,HU0000096409,N/A,N/A,N/A,LUX,FOTEX HOLD SE->FotexHdg->FOTEXHDG,113,EUR,20120222,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,FOTH.BU->FOTH.LU,,2
GLOB.LU,LU0974299876,N/A,N/A,N/A,LUX,GLOBAL ART->GlobalArtFund c->GLOBAL ART->GLOBANT,113,DEM->EUR->USD,19970806,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114->5365->0->5365,GLOB.LU,,2
HLE.LU,DE000A13SX22,N/A,N/A,N/A,LUX,HELLA KGAA HUECK,113,EUR,20141110,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,HLE.DE,,2
LUXA.LU,LU0092846210,N/A,N/A,N/A,LUX,LUX AIRPORT CERT->ImmoLux-Airport->LUX AIRPORT CERT->LuxAirp->LUXAIRP,113,LUF->EUR,19981216,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114->5365->0->5365,LUXA.LU,,2
LUXP.LU,LU0006241441->LU0502900771,N/A,N/A,N/A,LUX,LUXEMPART->Luxempart p+n->LUXEMPART->Luxempar->LUXEMPAR,113,LUF->EUR,19960106,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114->5365->0->5365,LUXP.LU,,2
METOR.LU,DE000BFB0019,N/A,N/A,N/A,LUX,METROW->METROWf->METROW,113,EUR,20170713,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,B4B.DE,,2
METPR_p.LU,DE000BFB0027,N/A,N/A,N/A,LUX,METROW,113,EUR,20170713,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,B4B.DE,,2
14766.LU,N/P,N/A,N/A,N/A,LUX,MOL MAGYAR OLAJ->MOL->MOLNyrt ADR->MOLNYRT ADR,113,USD->XXX->USD,20070929,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,MOLB.BU,,2
NBG.LU,GRS003013000->GRS003003019,N/A,N/A,N/A,LUX,NATL BK GREECE->NatlBkGreece n->NATL BK GREECE,113,LUF->EUR,19960106,20151203,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114->5365->0->5365,NBGr.AT,,2
ORCO.LU,LU0122624777,N/A,N/A,N/A,LUX,ORCPROPG,113,EUR,20151001,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,ORCO.PA->ORCO.LU,,2
