000069098_t.LU,APAM.LU
000079199_t.LU,MT.LU
000079200_t.LU,BREL.LU
001061992_t.LU,GSZ.LU
001062147_t.LU,SACIL.LU
003590160_t.LU,PADI.LU
005214777_t.LU,FOTH.LU
005381037_t.LU,GLOB.LU
005458692_t.LU,HLE.LU
007133286_t.LU,LUXA.LU
007133308_t.LU,LUXP.LU
007133316_t.LU,METOR.LU
007133324_t.LU,METPR_p.LU
009286149_t.LU,NBG.LU
009289812_t.LU,ORCO.LU
009544046_t.LU,PSMG.LU
010162092_t.LU,REIT.LU
010267931_t.LU,RBEN.LU
010344000X.LU,RKET.LU
010355583X.LU,RLIN.LU
010355672X.LU,AUDK.LU
010383049_t.LU,STCXH.LU
010383051_t.LU,SHA.LU
010412739_t.LU,SESFg.LU
010432460_t.LU,CULKe.LU
011280803X.LU,SOFI.LU
011664385_t.LU,SELU_p.LU
011664475_t.LU,SELU.LU
011664512_t.LU,SELU_pa.LU
011664571_t.LU,SCFK.LU
011664601_t.LU,SBREa.LU
011664644_t.LU,SBREb.LU
011874215_t.LU,TINTB.LU
011874223_t.LU,ZAICG.LU
011908284_t.LU,VOWG.LU
011969933X.LU,VOWG_p.LU
012017065_t.LU,ANNGn.LU
012075197_t.LU,ARIST.LU
012086822X.LU,BALHR.LU
012086857_t.LU,BIOTO.LU
012090072_t.LU,163704.LU
012090161_t.LU,INSGR.LU
012374305_t.LU,BATJ.LU
012446322X.LU,7458.LU
012559143_t.LU,EPPR.LU
012838417X.LU,EDIFY.LU
012950497_t.LU,FLES.LU
012987706X.LU,GPIV11.LU
012990758X.LU,MASPLC.LU
012990979X.LU,MLXK.LU
012991240X.LU,PIAP.LU
012994630X.LU,PGDM.LU
012994656X.LU,PARTG.LU
013046506_t.LU,PACO.LU
014040404_t.LU,WSON.LU
014049614_t.LU,
014089144_t.LU,
014089217_t.LU,
014093630_t.LU,
014093729_t.LU,
014093826_t.LU,
014093940_t.LU,
014094164_t.LU,
014094288_t.LU,
014094377_t.LU,
014094539_t.LU,
014094717_t.LU,
014094857_t.LU,
014094962_t.LU,
014095012_t.LU,
014095128_t.LU,
014095144_t.LU,
014095195_t.LU,
014095217_t.LU,
014441310_t.LU,
014575235_t.LU,
014651985_t.LU,
014661166_t.LU,
014696890_t.LU,
014697012_t.LU,
014697071_t.LU,
014712585_t.LU,
014713638_t.LU,
014933115_t.LU,
015004681X.LU,
015041404_t.LU,
015083204_t.LU,
015153075_t.LU,
015153229_t.LU,
015153270_t.LU,
015153288_t.LU,
015153300_t.LU,
015995181_t.LU,
016369217_t.LU,
016545660_t.LU,
016605344_t.LU,
016606103_t.LU,
016727954_t.LU,
016728047_t.LU,
016893676_t.LU,
